排序组,舆情场景,场景代码,方法,参数名,参数值,干预概率,重复次数,初始极化率,无干预最终极化率,干预后最终极化率,极化率降低量,观点均值_初始,观点均值_无干预,观点均值_干预后,观点标准差_初始,观点标准差_无干预,观点标准差_干预后,干预接受率
HotRank,饭圈控评(J型),fan_circle,scarcity,K,30,0.9,10,84.2%,92.0%,22.8%,69.2%,0.9070,0.8308,0.5350,0.1063,0.2063,0.2269,48.3%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,0.5,0.1,10,84.2%,92.0%,64.6%,27.4%,0.9070,0.8308,0.6422,0.1063,0.2063,0.3025,39.9%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,0.5,0.2,10,84.2%,92.0%,47.8%,44.2%,0.9070,0.8308,0.6145,0.1063,0.2063,0.2662,43.5%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,0.5,0.3,10,84.2%,92.0%,39.0%,53.0%,0.9070,0.8308,0.6116,0.1063,0.2063,0.2428,46.1%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,0.5,0.4,10,84.2%,92.0%,36.4%,55.6%,0.9070,0.8308,0.6030,0.1063,0.2063,0.2310,47.8%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,0.5,0.5,10,84.2%,92.0%,34.6%,57.4%,0.9070,0.8308,0.6100,0.1063,0.2063,0.2196,48.8%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,0.5,0.6,10,84.2%,92.0%,31.4%,60.6%,0.9070,0.8308,0.6142,0.1063,0.2063,0.2056,50.8%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,0.5,0.7,10,84.2%,92.0%,28.6%,63.4%,0.9070,0.8308,0.6074,0.1063,0.2063,0.2015,52.4%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,0.5,0.8,10,84.2%,92.0%,25.4%,66.6%,0.9070,0.8308,0.6095,0.1063,0.2063,0.2043,53.1%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,0.5,0.9,10,84.2%,92.0%,26.4%,65.6%,0.9070,0.8308,0.6145,0.1063,0.2063,0.2084,53.7%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,1.0,0.1,10,84.2%,92.0%,56.8%,35.2%,0.9070,0.8308,0.6240,0.1063,0.2063,0.2942,41.4%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,1.0,0.2,10,84.2%,92.0%,42.2%,49.8%,0.9070,0.8308,0.6236,0.1063,0.2063,0.2480,44.6%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,1.0,0.3,10,84.2%,92.0%,41.6%,50.4%,0.9070,0.8308,0.6372,0.1063,0.2063,0.2312,45.6%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,1.0,0.4,10,84.2%,92.0%,40.0%,52.0%,0.9070,0.8308,0.6295,0.1063,0.2063,0.2258,46.9%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,1.0,0.5,10,84.2%,92.0%,34.0%,58.0%,0.9070,0.8308,0.6178,0.1063,0.2063,0.2116,49.7%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,1.0,0.6,10,84.2%,92.0%,33.2%,58.8%,0.9070,0.8308,0.6232,0.1063,0.2063,0.2066,50.4%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,1.0,0.7,10,84.2%,92.0%,28.6%,63.4%,0.9070,0.8308,0.6146,0.1063,0.2063,0.1996,52.0%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,1.0,0.8,10,84.2%,92.0%,26.0%,66.0%,0.9070,0.8308,0.6177,0.1063,0.2063,0.2029,52.9%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,1.0,0.9,10,84.2%,92.0%,24.6%,67.4%,0.9070,0.8308,0.6140,0.1063,0.2063,0.2087,53.9%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,2.0,0.1,10,84.2%,92.0%,58.8%,33.2%,0.9070,0.8308,0.6602,0.1063,0.2063,0.2836,40.9%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,2.0,0.2,10,84.2%,92.0%,47.4%,44.6%,0.9070,0.8308,0.6564,0.1063,0.2063,0.2460,42.6%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,2.0,0.3,10,84.2%,92.0%,45.6%,46.4%,0.9070,0.8308,0.6564,0.1063,0.2063,0.2372,43.2%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,2.0,0.4,10,84.2%,92.0%,43.2%,48.8%,0.9070,0.8308,0.6495,0.1063,0.2063,0.2296,44.9%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,2.0,0.5,10,84.2%,92.0%,40.2%,51.8%,0.9070,0.8308,0.6537,0.1063,0.2063,0.2095,46.9%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,2.0,0.6,10,84.2%,92.0%,36.4%,55.6%,0.9070,0.8308,0.6390,0.1063,0.2063,0.2070,48.7%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,2.0,0.7,10,84.2%,92.0%,35.0%,57.0%,0.9070,0.8308,0.6318,0.1063,0.2063,0.2070,48.7%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,2.0,0.8,10,84.2%,92.0%,30.4%,61.6%,0.9070,0.8308,0.6191,0.1063,0.2063,0.2050,51.0%
HotRank,饭圈控评(J型),fan_circle,suppression,Gamma,2.0,0.9,10,84.2%,92.0%,25.8%,66.2%,0.9070,0.8308,0.6129,0.1063,0.2063,0.2035,53.2%
HotRank,全网黑(反J型),blackout,scarcity,K,10,0.1,10,84.8%,88.6%,73.4%,15.2%,0.0923,0.1526,0.1851,0.1060,0.1174,0.1405,44.3%
HotRank,全网黑(反J型),blackout,scarcity,K,10,0.2,10,84.8%,88.6%,62.2%,26.4%,0.0923,0.1526,0.2042,0.1060,0.1174,0.1499,49.0%
HotRank,全网黑(反J型),blackout,scarcity,K,10,0.3,10,84.8%,88.6%,56.0%,32.6%,0.0923,0.1526,0.2223,0.1060,0.1174,0.1535,49.5%
HotRank,全网黑(反J型),blackout,scarcity,K,10,0.4,10,84.8%,88.6%,43.6%,45.0%,0.0923,0.1526,0.2388,0.1060,0.1174,0.1364,51.4%
HotRank,全网黑(反J型),blackout,scarcity,K,10,0.5,10,84.8%,88.6%,38.4%,50.2%,0.0923,0.1526,0.2600,0.1060,0.1174,0.1484,51.7%
HotRank,全网黑(反J型),blackout,scarcity,K,10,0.6,10,84.8%,88.6%,32.2%,56.4%,0.0923,0.1526,0.2881,0.1060,0.1174,0.1570,52.5%
HotRank,全网黑(反J型),blackout,scarcity,K,10,0.7,10,84.8%,88.6%,25.6%,63.0%,0.0923,0.1526,0.3219,0.1060,0.1174,0.1636,52.8%
